Date,FTSE
21/12/2018,3716.92
24/12/2018,3696.12
27/12/2018,3641.5
28/12/2018,3723.62
31/12/2018,3722.15
02/01/2019,3727.86
03/01/2019,3703.52
04/01/2019,3782.94
07/01/2019,3776.69
08/01/2019,3807.03
09/01/2019,3836.03
10/01/2019,3853.64
11/01/2019,3845.76
14/01/2019,3812.16
15/01/2019,3831.18
16/01/2019,3818.06
17/01/2019,3806.86
18/01/2019,3876.61
21/01/2019,3877.61
22/01/2019,3842.66
23/01/2019,3812.11
24/01/2019,3802.49
25/01/2019,3798.51
28/01/2019,3765.93
29/01/2019,3812
30/01/2019,3866.33
31/01/2019,3875.06
01/02/2019,3902.33
04/02/2019,3910.07
05/02/2019,3981.69
06/02/2019,3982.32
07/02/2019,3936.05
08/02/2019,3920.68
11/02/2019,3953.68
12/02/2019,3955.32
13/02/2019,3987.17
14/02/2019,3987.52
15/02/2019,4008.98
18/02/2019,4005.71
19/02/2019,3984.99
20/02/2019,4012.5
21/02/2019,3985.19
22/02/2019,3991.51
25/02/2019,3993.14
26/02/2019,3978.76
27/02/2019,3954.37
28/02/2019,3940.2
01/03/2019,3962.47
04/03/2019,3975.74
05/03/2019,3999.63
06/03/2019,4002.64
07/03/2019,3978.81
08/03/2019,3949.44
11/03/2019,3963.22
12/03/2019,3974.49
13/03/2019,3979.45
14/03/2019,3995.14
15/03/2019,4022.12
18/03/2019,4054.94
19/03/2019,4068.67
20/03/2019,4047.82
21/03/2019,4076.32
22/03/2019,3995.79
25/03/2019,3975.09
26/03/2019,3987.07
27/03/2019,3986.01
28/03/2019,4005.17
29/03/2019,4033.12
01/04/2019,4054.99
02/04/2019,4092.35
03/04/2019,4112.91
04/04/2019,4103.41
05/04/2019,4125.36
08/04/2019,4126.98
09/04/2019,4111.91
10/04/2019,4111.94
11/04/2019,4114.71
12/04/2019,4126.66
15/04/2019,4129.8
16/04/2019,4149.1
17/04/2019,4147.55
18/04/2019,4141.48
23/04/2019,4173.32
24/04/2019,4152.33
25/04/2019,4130.68
26/04/2019,4127.44
29/04/2019,4135.08
30/04/2019,4121.72
01/05/2019,4106.01
02/05/2019,4085.91
03/05/2019,4100.19
07/05/2019,4036.18
08/05/2019,4043.32
09/05/2019,4005.41
10/05/2019,4006.23
13/05/2019,3979.69
14/05/2019,4024.08
15/05/2019,4049.91
16/05/2019,4081.66
17/05/2019,4078.31
20/05/2019,4055.24
21/05/2019,4067.03
22/05/2019,4065.12
23/05/2019,4007.79
24/05/2019,4032.77
28/05/2019,4031.31
29/05/2019,3983.64
30/05/2019,4004.52
31/05/2019,3973.48
03/06/2019,3981.07
04/06/2019,3999.22
05/06/2019,4004.15
06/06/2019,4022.35
07/06/2019,4061.53
10/06/2019,4084.43
11/06/2019,4095.63
12/06/2019,4078.73
13/06/2019,4076.53
14/06/2019,4064.11
17/06/2019,4070.8
18/06/2019,4115.89
19/06/2019,4095.27
20/06/2019,4109.69
21/06/2019,4099.8
24/06/2019,4103.21
25/06/2019,4105.42
26/06/2019,4101.73
