"date","FTSE ALL SHARE - PRICE INDEX","RUSSELL 2000 - PRICE INDEX","WORLD-DS Market - PRICE INDEX","CHINA A-DS MARKET $ - PRICE INDEX","IRELAND-DS MARKET $ - PRICE INDEX"
1975-10-01,143.27,NA,69.51,NA,62.04
1975-09-01,140.8,NA,73.17,NA,64.22
1975-08-01,123.23,NA,74.12,NA,61.53
1975-07-01,134.6,NA,79.66,NA,61.67
1975-06-01,149.68,NA,79.26,NA,75.25
1975-05-01,141.74,NA,76.84,NA,72.07
1975-04-01,118.02,NA,73.09,NA,66.99
1975-03-01,125.25,NA,73.85,NA,58.71
1975-02-01,101.94,NA,67.02,NA,52.02
1975-01-01,66.89,NA,58.55,NA,36.27
1974-12-01,66.8,NA,58.69,NA,38.95
1974-11-01,78.63,NA,61.02,NA,45.79
1974-10-01,78.58,NA,55.58,NA,45.9
1974-09-01,88.86,NA,62.22,NA,55.19
1974-08-01,97.87,NA,68.21,NA,59.09
1974-07-01,105.5,NA,74.36,NA,61.41
1974-06-01,115.44,NA,77.69,NA,68.15
1974-05-01,129.27,NA,80.09,NA,76.6
1974-04-01,116.79,NA,79.69,NA,75.85
1974-03-01,138.4,NA,81,NA,74.15
1974-02-01,143.18,NA,80.83,NA,70.87
1974-01-01,149.76,NA,81.88,NA,78.11
1973-12-01,161.23,NA,81.49,NA,79.91
1973-11-01,186.51,NA,93.95,NA,91.88
1973-10-01,181.56,NA,93.63,NA,92.53
1973-09-01,174.34,NA,92.72,NA,95.04
1973-08-01,180.94,NA,96.1,NA,102.96
1973-07-01,189.69,NA,93.95,NA,106.46
1973-06-01,195.26,NA,93.82,NA,107.05
1973-05-01,190.97,NA,94.37,NA,106.11
1973-04-01,189.24,NA,98.38,NA,104.33
1973-03-01,188.37,NA,99.43,NA,108.32
1973-02-01,198.26,NA,97.86,NA,104.83
1973-01-01,218.18,NA,100,NA,100
1972-12-01,221.65,NA,NA,NA,NA
1972-11-01,207.76,NA,NA,NA,NA
1972-10-01,200.33,NA,NA,NA,NA
1972-09-01,221.33,NA,NA,NA,NA
1972-08-01,220.69,NA,NA,NA,NA
1972-07-01,208.97,NA,NA,NA,NA
1972-06-01,215.16,NA,NA,NA,NA
1972-05-01,228.18,NA,NA,NA,NA
1972-04-01,217.69,NA,NA,NA,NA
1972-03-01,212.49,NA,NA,NA,NA
1972-02-01,200.96,NA,NA,NA,NA
1972-01-01,194.61,NA,NA,NA,NA
1971-12-01,181.65,NA,NA,NA,NA
1971-11-01,175.51,NA,NA,NA,NA
1971-10-01,179.51,NA,NA,NA,NA
1971-09-01,180.42,NA,NA,NA,NA
1971-08-01,180.4,NA,NA,NA,NA
1971-07-01,168.88,NA,NA,NA,NA
1971-06-01,164.26,NA,NA,NA,NA
1971-05-01,161.15,NA,NA,NA,NA
1971-04-01,144.12,NA,NA,NA,NA
1971-03-01,131.07,NA,NA,NA,NA
1971-02-01,137,NA,NA,NA,NA
1971-01-01,136.26,NA,NA,NA,NA
1970-12-01,130.92,NA,NA,NA,NA
1970-11-01,136.45,NA,NA,NA,NA
1970-10-01,138.14,NA,NA,NA,NA
1970-09-01,129.51,NA,NA,NA,NA
1970-08-01,130.5,NA,NA,NA,NA
1970-07-01,125.7,NA,NA,NA,NA
1970-06-01,123.52,NA,NA,NA,NA
1970-05-01,129.85,NA,NA,NA,NA
1970-04-01,143.21,NA,NA,NA,NA
1970-03-01,142.82,NA,NA,NA,NA
1970-02-01,148.4,NA,NA,NA,NA
1970-01-01,147.34,NA,NA,NA,NA
1969-12-01,140.97,NA,NA,NA,NA
1969-11-01,132.92,NA,NA,NA,NA
1969-10-01,140.62,NA,NA,NA,NA
1969-09-01,136.53,NA,NA,NA,NA
1969-08-01,132.2,NA,NA,NA,NA
1969-07-01,144.08,NA,NA,NA,NA
1969-06-01,143.36,NA,NA,NA,NA
1969-05-01,155.7,NA,NA,NA,NA
1969-04-01,162.76,NA,NA,NA,NA
1969-03-01,163.75,NA,NA,NA,NA
1969-02-01,179.23,NA,NA,NA,NA
1969-01-01,173.72,NA,NA,NA,NA
1968-12-01,163.45,NA,NA,NA,NA
1968-11-01,162.23,NA,NA,NA,NA
1968-10-01,160.72,NA,NA,NA,NA
1968-09-01,166.12,NA,NA,NA,NA
1968-08-01,159.77,NA,NA,NA,NA
1968-07-01,154.49,NA,NA,NA,NA
1968-06-01,146.04,NA,NA,NA,NA
1968-05-01,149.3,NA,NA,NA,NA
1968-04-01,139.43,NA,NA,NA,NA
1968-03-01,126.17,NA,NA,NA,NA
1968-02-01,129.18,NA,NA,NA,NA
1968-01-01,121.08,NA,NA,NA,NA
1967-12-01,123.8,NA,NA,NA,NA
1967-11-01,123.51,NA,NA,NA,NA
1967-10-01,114.67,NA,NA,NA,NA
1967-09-01,109.53,NA,NA,NA,NA
1967-08-01,107.11,NA,NA,NA,NA
1967-07-01,106.42,NA,NA,NA,NA
1967-06-01,101.92,NA,NA,NA,NA
1967-05-01,103.68,NA,NA,NA,NA
1967-04-01,98.01,NA,NA,NA,NA
1967-03-01,93.01,NA,NA,NA,NA
1967-02-01,95.81,NA,NA,NA,NA
1967-01-01,94.1,NA,NA,NA,NA
1966-12-01,91.25,NA,NA,NA,NA
1966-11-01,89.77,NA,NA,NA,NA
1966-10-01,93.11,NA,NA,NA,NA
1966-09-01,90.82,NA,NA,NA,NA
1966-08-01,96.86,NA,NA,NA,NA
1966-07-01,111.25,NA,NA,NA,NA
1966-06-01,110,NA,NA,NA,NA
1966-05-01,105.07,NA,NA,NA,NA
1966-04-01,104.82,NA,NA,NA,NA
1966-03-01,106.04,NA,NA,NA,NA
1966-02-01,107.13,NA,NA,NA,NA
1966-01-01,103.7,NA,NA,NA,NA
1965-12-01,104.07,NA,NA,NA,NA
1965-11-01,105.04,NA,NA,NA,NA
1965-10-01,100.03,NA,NA,NA,NA
1965-09-01,94.67,NA,NA,NA,NA
1965-08-01,93.39,NA,NA,NA,NA
1965-07-01,93.42,NA,NA,NA,NA
1965-06-01,98.1,NA,NA,NA,NA
1965-05-01,99.2,NA,NA,NA,NA
1965-04-01,98.22,NA,NA,NA,NA
1965-03-01,99.35,NA,NA,NA,NA
1965-02-01,101.46,NA,NA,NA,NA
1965-01-01,97.95,NA,NA,NA,NA
1964-12-01,99.91,NA,NA,NA,NA
1964-11-01,105.02,NA,NA,NA,NA
1964-10-01,109.26,NA,NA,NA,NA
1964-09-01,109.09,NA,NA,NA,NA
1964-08-01,107.89,NA,NA,NA,NA
1964-07-01,105.79,NA,NA,NA,NA
1964-06-01,102.4,NA,NA,NA,NA
1964-05-01,107.43,NA,NA,NA,NA
1964-04-01,104.61,NA,NA,NA,NA
1964-03-01,102.84,NA,NA,NA,NA
1964-02-01,101.91,NA,NA,NA,NA
1964-01-01,108.89,NA,NA,NA,NA
1963-12-01,107.39,NA,NA,NA,NA
1963-11-01,106.84,NA,NA,NA,NA
1963-10-01,103.84,NA,NA,NA,NA
1963-09-01,103.29,NA,NA,NA,NA
1963-08-01,99.15,NA,NA,NA,NA
1963-07-01,98.09,NA,NA,NA,NA
1963-06-01,98.99,NA,NA,NA,NA
1963-05-01,98.38,NA,NA,NA,NA
1963-04-01,98.15,NA,NA,NA,NA
1963-03-01,98.02,NA,NA,NA,NA
1963-02-01,94.19,NA,NA,NA,NA
1963-01-01,94.54,NA,NA,NA,NA
1962-12-01,95.15,NA,NA,NA,NA
1962-11-01,91.28,NA,NA,NA,NA
1962-10-01,90.11,NA,NA,NA,NA
1962-09-01,91.85,NA,NA,NA,NA
1962-08-01,86.65,NA,NA,NA,NA
1962-07-01,89.23,NA,NA,NA,NA
1962-06-01,92.74,NA,NA,NA,NA
1962-05-01,102.49,NA,NA,NA,NA
1962-04-01,NA,NA,NA,NA,NA
1962-03-01,NA,NA,NA,NA,NA
1962-02-01,NA,NA,NA,NA,NA
1962-01-01,NA,NA,NA,NA,NA
1961-12-01,NA,NA,NA,NA,NA
1961-11-01,NA,NA,NA,NA,NA
1961-10-01,NA,NA,NA,NA,NA
1961-09-01,NA,NA,NA,NA,NA
1961-08-01,NA,NA,NA,NA,NA
1961-07-01,NA,NA,NA,NA,NA
1961-06-01,NA,NA,NA,NA,NA
1961-05-01,NA,NA,NA,NA,NA
1961-04-01,NA,NA,NA,NA,NA
1961-03-01,NA,NA,NA,NA,NA
1961-02-01,NA,NA,NA,NA,NA
1961-01-01,NA,NA,NA,NA,NA
1960-12-01,NA,NA,NA,NA,NA
1960-11-01,NA,NA,NA,NA,NA
1960-10-01,NA,NA,NA,NA,NA
1960-09-01,NA,NA,NA,NA,NA
1960-08-01,NA,NA,NA,NA,NA
1960-07-01,NA,NA,NA,NA,NA
1960-06-01,NA,NA,NA,NA,NA
1960-05-01,NA,NA,NA,NA,NA
1960-04-01,NA,NA,NA,NA,NA
1960-03-01,NA,NA,NA,NA,NA
1960-02-01,NA,NA,NA,NA,NA
1960-01-01,NA,NA,NA,NA,NA
